title|date|link|category|title_brand|check|why|Brand
그래미에서 국위선양하는 방탄소년단|2019.02.11|https://www.harpersbazaar.co.kr/article/39924|FASHION|0|0|-|YSL
런웨이 소년단|2018.12.26|https://www.harpersbazaar.co.kr/article/39804|FASHION|0|0|-|YSL
최고의 쿠션을 찾아서|2018.12.01|https://www.harpersbazaar.co.kr/article/39752|BEAUTY|0|2|-|YSL
#B_BB템 유혹적인 홀리데이 매직|2018.11.29|https://www.harpersbazaar.co.kr/article/39741|BEAUTY|0|2|-|YSL
90년대가 꼭 필요한 이유|2018.11.15|https://www.harpersbazaar.co.kr/article/39714|FASHION|0|0|-|YSL
웨스턴 룩의 재발견|2018.11.10|https://www.harpersbazaar.co.kr/article/39703|FASHION|0|0|-|YSL
리카르도 티시 VS 에디 슬리먼|2018.11.01|https://www.harpersbazaar.co.kr/article/39671|FASHION|0|0|-|YSL
포근하게 입술을 감싸 줄 신상 립스틱|2018.10.07|https://www.harpersbazaar.co.kr/article/39603|BEAUTY|0|2|-|YSL
에디 슬리먼의 셀린, 그 반응은?|2018.10.01|https://www.harpersbazaar.co.kr/article/39585|FASHION|0|0|-|YSL
쿠션, 어떤게 좋아?|2018.09.16|https://www.harpersbazaar.co.kr/article/39541|BEAUTY|0|2|-|YSL
80's VS 미래주의|2018.09.13|https://www.harpersbazaar.co.kr/article/39532|FASHION|0|0|-|YSL
마스터! 칼 라거펠트|2018.09.04|https://www.harpersbazaar.co.kr/article/39512|FASHION|0|0|-|YSL
영원히 변치 않는 패션 ‘잇’ 아이템|2018.08.20|https://www.harpersbazaar.co.kr/article/39473|FASHION|0|0|-|YSL
생 로랑 룩 스마트하게 연출하기|2018.08.20|https://www.harpersbazaar.co.kr/article/39472|FASHION|0|0|-|YSL
패션 듀오 아카이브|2018.08.13|https://www.harpersbazaar.co.kr/article/39453|FASHION|0|0|-|YSL
크리스 무어가 담은 런웨이 최고의 순간!|2018.07.16|https://www.harpersbazaar.co.kr/article/39377|FASHION|0|0|-|YSL
블랙 파워!|2018.07.15|https://www.harpersbazaar.co.kr/article/39372|FASHION|0|0|-|YSL
패션으로 떠나는 세계여행|2018.07.13|https://www.harpersbazaar.co.kr/article/39366|FASHION|0|0|-|YSL
2018 F/W 파리 패션위크에서 생긴일|2018.07.01|https://www.harpersbazaar.co.kr/article/39327|FASHION|0|0|-|YSL
2018 F/W 런던 패션위크 리포트|2018.06.29|https://www.harpersbazaar.co.kr/article/39318|FASHION|0|0|-|YSL
여름에만 가능한 뷰티 #립티튜드|2018.06.29|https://www.harpersbazaar.co.kr/article/39317|BEAUTY|0|2|-|YSL
2018 F/W 뉴욕 패션위크 리포트|2018.06.28|https://www.harpersbazaar.co.kr/article/39312|FASHION|0|0|-|YSL
예뻐도 너무 예쁜 제니의 옷장|2018.06.25|https://www.harpersbazaar.co.kr/article/39305|ART&CULTURE|0|0|-|YSL
