magazine|brand|category|title|link|date|contents|title_brand
Daum_Bazaar|L|CELEBRITY|뒷광고 말고, 셀럽들의 앞광고|https://www.harpersbazaar.co.kr/article/48627|2020.09.03|"['협찬 태그는 이렇게, 리사!', ' 셀린의 뮤즈인 리사.', '그녀는 노란 니트 톱에 연청 스커트를 입고 다양한 포즈를 취한 사진을 SNS에 업로드했다.', '미니 백을 들고 있는 그녀의 모습만큼이나 눈길을 끈 건 바로 ""협찬"" 두 글자만 적힌 해시태그.', ' 정직하게 표기한 모습이 귀여움을 자아내기까지 한다.']"|0
Daum_Bazaar|L|CELEBRITY|난리 난 블랙핑크의 네일아트, 왜?|https://www.harpersbazaar.co.kr/article/47719|2020.07.17|"['강렬한 레드 헤어와 시크한 네일을 선보인 리사.', ' 긴 손톱의 끝을 일자로 다듬은 ""발레리나 쉐입""을 선보였다.', '보랏빛이 감도는 그레이 컬러로 베이스를 칠한 뒤, 손톱 끝부분은 화이트 컬러를 사용해 ""ㄷ""모양으로 각을 살려 그려내면 완성!', '반면 뮤직비디오 속 리사의 네일은? 여름 하면 빼놓을 수 없는 비비드 한 컬러를 택했다.', '손가락마다 컬러와 디자인을 달리해 세련된 형태를 완성한 것. 옐로와 핑크, 퍼플 등 다채로운 컬러를 중심으로 다양한 패턴과 조합해 사용했다. ', '올여름 ""네온 네일""을 염두에 두고 있다면, 리사처럼 한 손에 두 컬러 정도는 무채색 계열을 사용해 컬러 밸런스를 맞춰줄 것!']"|0
Daum_Bazaar|L|ART&CULTURE|블랙핑크 리사의 특별한 만남|https://www.harpersbazaar.co.kr/article/40152|2019.05.29|['동시대적이고 과감한 스타일을 지닌 두 아이콘이 만났다.', ' 20주년을 맞이한 불가리 ‘비제로원’ 컬렉션과 블랙핑크 리사의 조우.']|1
