magazine|brand|category|title|link|date|contents|title_brand
Daum_Bazaar|Ji|CELEBRITY|하퍼스 바자 2020년 첫 커버 주인공 지수|https://www.harpersbazaar.co.kr/article/43747|2019.12.18|"['<하퍼스 바자> 2020년 1월호 커버의 주인공은?', '블랙핑크 지수가 디올 뷰티 로컬 앰버서로더서 바자와 함께 첫 번째 화보를 선보였다.', '이번 화보에서 지수는 새벽 3시가 넘도록 진행된 촬영에도 특유의 사랑스러운 미소를 잃지 않으며 촬영장 분위기를 화기애애하게 만들었다.', '지수와 바자의 만남은 처음이 아니다. 6개월 전 시크하고 분위기 있는 모습으로 바자의 커버를 장식한 바 있다.', '6개월 간의 안부를 묻자 지수는 ""투어가 끝난 후 혼자만의 시간을 가진 덕분에 좀 더 평온해졌어요. 혼자 있는 시간에는 잠을 많이 자는데, 잘 때마다 꿈을 꿔서 지루하지 않고 즐거워요.""', '라며 집순이의 면모를 보였다.', '또 변화와 도전을 즐기냐는 질문에 “나서서 무언가를 하려고 하진 않지만 새로운 제안이 오면 거부감 없이 도전해요. 해봐야 아는 거니까 일단 하는 편이죠. 이번 촬영 역시 이전과는 다른 분위기의 메이크업이 걱정되기보다 색달라서 더 즐겁게 느껴졌어요.”라고 전했다.', '최근 그림을 배우고 있다는 근황도 전했다.', '뭔가 배워보고 싶던 참에 그림을 시작했어요. ', '어릴 때는 화가가 꿈이었던 것 같은데 갑자기 ""왜 이렇게 못 그리지?"" 라는 생각이 들었거든요.', '색을 칠하는 것에 푹 빠졌어요.', ' 물 한 방울 섞고 안 섞는 것에 따라 그림의 분위기가 달라지는 점이 매력적이에요.”라며 그림의 장점에 대해 소개했다.', '인터뷰 중엔 팬들에 대한 고마운 마음을 전하기도.', '“무대에서 우리 모습을 한 장면, 한 장면 담는 관객들을 보면 책임감이 생겨요.', ' 어떤 분들에게는 일생에 단 한 번뿐인 순간일 수도 있으니까요. ', '그런 고마운 마음을 받는 사람으로서 보답해야 한다고 생각해요.', '이런 경험이 결국 블랙핑크와 지수로 살아갈 수 있는 원동력이에요.”', ' 사랑하는 사람들에게 “올해도 함께 해주셔서 고맙습니다.”라는 인사도 잊지 않았다.']"|1
Daum_Bazaar|Ji|CELEBRITY|오직 <바자>에서만 볼 수 있는 지수의 인터뷰와 비하인드 컷|https://www.harpersbazaar.co.kr/article/43987|2020.01.03|['<바자> 6월호에서 만나고, 딱 6개월이 흘렀어요.\xa0', '6개월 전이 제일 바빴어요.(웃음) 투어가 끝날 즈음이어서 너무 정신없이 지냈거든요. 그동안 여유가 생기면서 혼자만의 시간을 가진 덕분에 좀 더 평온해졌어요.', '혼자 있는 시간을 즐겁게 보내는 지수만의 방법이 있을까요?\xa0', '잠을 많이 자요. 잘 때마다 꿈을 꾸거든요. 그 시간이 전혀 지루하지 않고 즐겁더라고요.', '블랙핑크로서도 지수 개인으로서도 올해 큰 도전과 변화가 끊이지 않았어요. 지수에게 이 두 단어는 어떤 의미를 가지나요?', '아무래도 ‘도전’을 떠올리면 ‘또 하나의 성장을 하겠구나’라는 생각이 들어요. 도전을 하다 보면 결과가 좋든 안 좋든 무언가 쌓이잖아요. 쌓인 것들이 결국 ‘변화’를 만든다고 생각해요. 변화나 성장, 자기 자신에게서 새로운 걸 찾고 싶으면 도전을 해야 얻어지는 거라고.', '변화와 도전을 즐기기도 하나요?', '나서서 무언가를 하려고 하진 않지만 새로운 제안이 오면 거부감 없이 해버려요. 해봐야 아는 거니까 일단은 도전하는 편이에요. 오늘도 이전과는 다른 분위기의 메이크업을 받았는데 “어울리나?” 이런 걱정보다는 색달라서 더 즐겁게 느껴졌어요.', '지수의 상큼한 미소를 돋보이게 하는 립 제품은 ‘디올 어딕트 립 글로우 오일’ #012 로즈우드. 전 세계적으로 사랑받는 디올 립 글로우의 리퀴드 버전으로 유리알처럼 매끄럽고 도톰한 입술을 만든다. ‘디올 포에버 스킨-케어링 파운데이션’ 글로우 피니쉬를 사용해 벨벳 피부를 연출하고, 아이 메이크업은 생략해 반짝이는 입술을 강조했다.', '오늘 촬영하면서 마음에 둔 제품이 있나요?', '새로 나올 제품이라고 하는데, 제가 평소에도 ‘디올 어딕트 립 글로우’를 애용해서 팬분들도 알고 계실 정도거든요. 기존 립밤이 오일 타입으로 나온 거라서 마음에 들어요. 환절기라 입술이 건조해서 립밤을 달고 사는데 이 제품은 한 번만 발라도 촉촉함이 유지되더라고요.\xa0', '그룹 이름의 이미지 때문일까요? 핑크색이 특히 잘 어울렸던 것 같아요.', '(웃음) 데뷔 초반에 핑크색 립스틱을 많이 발랐는데 점점 버건디도 바르고 빨간색도 바르고, 이것저것 다양하게 바르다가 요즘엔 다시 돌아왔어요. 예전 사진을 보니 핑크색 립을 발랐을 때가 제일 괜찮더라고요. 요즘 다시 핑크 컬러에 빠진 상태여서 오늘 바른 핑크 컬러 립이 굉장히 마음에 듭니다.(웃음)\xa0', '최근 색 조합을 공부하고 있다고 했어요. 지수의 퍼스널 컬러는 어떤 색인 것 같나요?', '뭔가 배워보고 싶던 참에 그림을 시작했어요. 어릴 때는 화가가 꿈이었던 것 같은데 갑자기 “왜 이렇게 못 그리지?”라는 생각이 들었거든요.(웃음) 배우고 싶은 걸 배우니까 너무 재미있고 특히 그림을 그리는 것보다 색을 칠하는 것에 푹 빠졌어요. 물 한 방울 섞고 안 섞는 것에 따라 그림의 분위기가 달라지는 점이 매력적이에요. 보라색을 좋아해서 끼고 살았어요. 그래서 그런지 스스로 제 모습을 봤을 때 보라색 계열로 입었을 때가 제일 만족스러워요.', '지수가 들고 있는 제품은 ‘디올 어딕트 립 글로우’ #017 울트라 코랄. 지수는 이 제품과 함께 립 글로우 오일 #004 코랄, ‘디올 백스테이지 로지 글로우 블러쉬’ #004 코랄을 사용해 팝 코랄 룩을 연출했다.1월에 출시하는 립 글로우 울트라 코랄은 한국 여성을 위해 탄생한 컬러.', '지수에게 올 한 해는 어느 때보다 특별한 해였을 거라고 생각해요. 돌이켜보면 어떤가요?\xa0', '저는 안 좋은 일은 금방 잊어버려요. 예전에는 안 좋은 일을 또렷하게 기억하고 좋은 일은 기억을 잘 못했어요. 이래서는 안 되겠다는 생각이 들어서 어느 순간부터 좋았던 일들만 기억하고 안 좋은 일들은 잊어버리기로 했어요. 이번 투어 하면서 처음으로 크게 아팠어요. 그런데 지금 돌이켜보면 그런 기억은 나지 않고 멤버들과 행복한 시간을 보낸 것만 떠오르네요.', '혼자 씩씩하게 걷기 시작한 시기이기도 해요.\xa0', '올해는 길을 찾는 시기였던 것 같아요. 초반에는 멤버들과 거의 모든 활동을 같이 했지만 지금은 개인으로 하는 일이 늘어났어요. 그렇다 보니 “어떤 걸 원하고 어떤 걸 좋아하지? 내가 뭘 하면 더 집중하고 잘 할까?” 길을 찾으려고 노력했어요.', '코첼라 페스티벌을 통해 다양한 아티스트들과 만나고 어울리는 시간을 보냈어요.\xa0', '가수로서 욕심이 조금 더 커지는 순간이었어요. 어떤 아티스트는 퍼포먼스로 무대를 휘어잡고 어떤 아티스트는 가창력으로 이목을 끌어요. 잘하는 것도 중요하지만 관객의 뇌리에 남는 무언가를 가지고 있는 것이 중요하다는 걸 느꼈어요.']|1
Daum_Bazaar|Ji|ART&CULTURE|블랙핑크 지수의 봄날|https://www.harpersbazaar.co.kr/article/40188|2019.06.10|['#블랙핑크 #지수 의 두 가지 얼굴.', '#까르띠에(@cartier)에서 새롭게 선보이는 #클래쉬드까르띠에 컬렉션을 우아하게 소화한 지수의 봄날']|1
Daum_Bazaar|Ji|CELEBRITY|난리 난 블랙핑크의 네일아트, 왜?|https://www.harpersbazaar.co.kr/article/47719|2020.07.17|['티저포스터 속 지수의 네일은? 일명 피어싱 네일.', ' 연장한 손톱을 스틸레토 쉐입으로 다듬은 뒤, 네일 바디와 손톱 사이(프리엣지)에 구멍을 뚫어 스터드로 장식했다.', ' 뮤직비디오 속 센캐 이미지를 보여줄 땐, 블랙 컬러를 선택했다. ', '같은 디자인에 손톱 안쪽을 자개 장식으로 완성해 화려함을 더한 것이 특징.', '올여름 이젠 귀 말고, 손톱을 뚫어보길!', ' 뮤직비디오에서 입은 한복은 물론 훈민정음을 새겨 넣은 네일 디자인 역시 화제가 됐다.', ' 한 글자 한 글자 적어 내린 한글과 마치 수묵화 한편을 그려놓은 듯한 디자인으로 전 세계의 이목을 끄는 중!']|0
Daum_Bazaar|Ji|CELEBRITY|블랙핑크 지수의 색다른 날|https://www.harpersbazaar.co.kr/article/40148|2019.05.27|['소녀의 양면적인 얼굴. 상반된 두 가지 스타일의 결합으로 탄생한 까르띠에의 새로운 주얼리 컬렉션, ‘클래쉬 드 까르띠에’와 만난 블랙핑크 지수의 어느 날.']|1
Daum_Bazaar|Ji|FASHION|돌고 도는 #탑골공원 패션|https://www.harpersbazaar.co.kr/article/42884|2019.10.28|['2019년 블랙핑크 지수도 심플한 화이트 톱에 오버 사이즈 데님을 매치해 과거 신디 크로포드의 룩이 연상되는 스타일을 선보였다.']|0
Daum_Bazaar|Ji|BEAUTY|하반기 뷰티 트렌드가 궁금해|https://www.harpersbazaar.co.kr/article/40444|2019.08.04|['블랙핑크 지수가 아리아나 그란데에게 받은 특별한 선물을 이제 한국에서도 만날 수 있다! 아리아나 그란데가 직접 제작한 향수를 시향하고 구매할 수 있게 된 것.', '부드러운 향조의 클라우드를 비롯, 여성스러운 아리와 사랑스러운 스위트 라이크 캔디를 함께 선보일 예정이다.']|0
Daum_Bazaar|Ji|BEAUTY|이젠 #말린살구 컬러가 대세|https://www.harpersbazaar.co.kr/article/39831|2019.01.11|"['품절대란을 일으킨 아이섀도 중 하나인 ""유스"" 컬러. ', '재출시 요청이 많아 다시 1월에 출시했죠. ', '은은한 이 컬러와 잘 어울리는 립 제품으로 자연스러운 핑크 빛의 MLBB 컬러인 ""플롯""을 추천합니다. ', '여리여리한 살구빛 섀도와 바르면 귀티 나는 소녀 메이크업을 연출할 수 있죠. ', '이 립스틱은 최근 골든 디스크 시상식에서 블랙핑크 지수가 바른 제품으로 유명세를 떨치고 있답니다.', ' _에스쁘아 홍보 담당 유지예']"|0
